user_index,id
677,teamlab
2019,201333017
2020,201735431
2021,201431317
2022,201434110
2023,201535471
2024,201131954
2025,201132827
2027,201633836
2028,201532883
2029,201034524
2030,201432515
2031,201131606
2032,201836010
2033,201335051
2035,201333442
2036,201833724
2037,20133017
2039,201231711
2040,201635625
2041,201635626
2042,201532875
2043,201634647
2045,201431098
2046,200732114
2049,200931412
2050,201731239
2052,2015328833
2053,201532663
2054,201231085
2055,201234052
2056,201433258
2057,201333888
2058,201232878
2059,201031430
2060,201733144
2061,201032198
2062,201134524
2063,201331610
2064,201334699
2065,201534694
2066,201632705
2067,201331744
2068,201633605
2069,201134533
2070,201634238
2071,201333360
2072,201431731
2073,201333361
2074,201333340
2075,201636022
2076,201731405
2077,201731427
2078,201434308
2079,201331710
2080,201632731
2081,201435299
2082,201132851
2083,201434113
2084,201433116
2085,201534092
2086,201531984
2087,201331270
2088,201233854
2089,201333998
2090,201732534
2091,201433301
2092,201533679
2093,201634945
2094,201731249
2095,201335153
2096,201534050
2097,201232620
2098,201737611
2099,201332259
2100,201231036
2101,201335348
2102,201333617
2103,201433257
2104,201433298
2106,201632422
2107,201333699
2108,201333674
2109,201632569
2110,201636102
2111,201133356
2112,201738617
2113,201434145
2114,201431972
2115,201431986
2116,201331743
2117,201634932
2118,201331510
2119,201332796
2120,201231442
2121,201131373
2123,201331713
2124,201331751
2125,201735426
2126,201634908
2127,201331052
2128,201331113
2129,201733002
2130,201535165
2131,201234725
2132,201234077
2133,201632736
2134,201433121
2135,201331735
2136,201435276
2137,201232932
2138,201134351
2139,201331747
2140,201636304
2141,201533697
2142,201431952
2143,201231076
2144,201234834
2145,21151028
2147,201431652
2148,201636031
2149,201533605
2150,201531973
2151,201333516
2152,201333059
2153,201331148
2154,201533204
2155,201333053
2156,201433663
2157,201632713
2158,201433669
2159,201731477
2160,201333584
2161,201132759
2162,201131797
2163,201731252
2165,201431302
2166,201738624
2167,201431212
2168,201731219
2169,201836502
2170,201233371
2171,201738604
2172,201635637
2173,200932746
2174,201233377
2175,201732916
2176,201733028
2177,201737306
2178,201331428
2179,201431354
2180,201331266
2181,201434143
2182,201331322
2183,201331311
2184,201233453
2185,201431291
2186,201732711
2187,201133445
2188,201132841
2189,201333380
2190,201333899
2191,201132643
2192,201232734
2193,201533995
2194,201331071
2195,201735438
2196,201333872
2197,201634355
2198,201631611
2199,201233397
2200,201434131
2201,21151034
2202,201831273
2203,201834703
2206,201533258
2208,201133381
2209,201735946
2210,201533209
2211,201331373
2213,20100572
2214,201331989
2215,201833519
2216,201535330
2217,201231944
2218,201333583
2219,201835887
2220,201733486
2222,201732736
2223,201433313
2224,201932758
2225,201331204
2226,201833001
2227,201131317
2228,201731409
2229,201836024
2230,201736665
